dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,proxy_gap_vs_quota_u_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,proxy_gap_vs_quota_u_mean_std
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.0,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.0971554819110743,0.0221297804751603,1.4158410516032294,10.504727232268555,0.0359294541597824,0.0,0.0,0.0,0.0,9.566698743821223e-05,0.00017784042533359025,0.00015514404816559376,4.3975980304508825e-05,3.0299799023956672e-06
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.2,0.9991714995857498,0.07207953603976802,0.07207953603976802,0.0350471458933797,0.000828500414250207,0.00047092373217709396,1.2990072190436466,10.453431015968059,0.06534499724376748,0.0,0.0,0.0,0.0,0.0,0.00012074506529498273,0.00015346834669385657,4.919645628726217e-05,5.191883596656986e-05
ML-1M,QuotaGate-RDU-EWBE,0.95,10,0.8,0.8004971002485503,0.07091963545981773,0.07091963545981773,0.034462414908744535,0.19420049710024856,0.08225196641639136,1.4909286308197218,10.53384670954454,0.010735047400178388,0.0,0.0,0.0,0.0,0.0,0.0002416791782995847,0.00024167917829960041,9.802459954682322e-05,1.2264558588772828e-05
ML-1M,QuotaGate-RDU-EWBE,0.95,10,1.0,0.9501242750621376,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04860535763601215,0.005574623269621298,1.3923791676377004,10.500015718823013,0.029961269134251012,0.0,0.0,0.0,0.0,9.566698743821271e-05,0.00011084255179681471,0.0001767129377005744,6.868933553680444e-05,7.566952862682569e-05
ML-1M,QuotaGate-RDU-EWBE,0.95,10,1.2,0.9996133664733499,0.07224523612261806,0.07224523612261806,0.0351074072406291,0.0003866335266500967,0.0001675452859452403,1.2803797411267615,10.449018502913598,0.046377900014822636,0.00025311105744028,0.0,0.0,0.0,0.0002531110574402563,0.00016867773363602015,0.00024199874647550288,0.0001097143090134796,0.0002285205948126357
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.0971554819110743,0.0221297804751603,1.4158410516032294,10.504727232268555,0.0412219501601759,0.0,0.0,0.0,0.0,9.566698743821223e-05,0.00017784042533359025,0.00015514404816559376,4.3975980304508825e-05,2.4380647702026884e-05
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.0971554819110743,0.0221297804751603,1.4158410516032294,10.504727232268555,0.0359294541597824,0.0,0.0,0.0,0.0,9.566698743821223e-05,0.00017784042533359025,0.00015514404816559376,4.3975980304508825e-05,3.0299799023956672e-06
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.0971554819110743,0.0221297804751603,1.4158410516032294,10.504727232268555,0.01404878094327285,0.0,0.0,0.0,0.0,9.566698743821223e-05,0.00017784042533359025,0.00015514404816559376,4.3975980304508825e-05,5.876396225084114e-05
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,0.9501242750621376,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04860535763601215,0.005574623269621298,1.3923791676377004,10.500015718823013,0.044566038121705155,0.0,0.0,0.0,0.0,9.566698743821271e-05,0.00011084255179681471,0.0001767129377005744,6.868933553680444e-05,5.8838258265805065e-05
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,0.9501242750621376,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04860535763601215,0.005574623269621298,1.3923791676377004,10.500015718823013,0.029961269134251012,0.0,0.0,0.0,0.0,9.566698743821271e-05,0.00011084255179681471,0.0001767129377005744,6.868933553680444e-05,7.566952862682569e-05
