dataset,t,method,mean_reward,compliance,viol_rate,mean_list_risk,p95_risk,B,tau,cand_n,lam_penalty,warmup,oracle_mean_reward,oracle_gap,V_left_end,elig_seen,infeasible,expected_reward,tuned_eta0,dual_lambda,mean_du,online_violation_rate
ML-20M,29,quota,0.9966020584106444,0.9,0.1,4.646803379058838,5.6805596351623535,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966106414794922,8.58306884765625e-06,0.0,233.0,,0.9966020584106444,,,,
ML-20M,30,quota,0.9966292977333068,0.901,0.099,4.643877506256104,5.674752235412598,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966292977333068,0.0,0.0,239.0,,0.9966292977333068,,,,
ML-20M,31,quota,0.9966402649879456,0.901,0.099,4.639920711517334,5.674851894378662,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966155886650084,-2.467632293701172e-05,0.0,239.0,,0.9966402649879456,,,,
ML-20M,32,quota,0.996612548828125,0.901,0.099,4.637839317321777,5.68919563293457,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965639710426332,-4.857778549194336e-05,0.0,239.0,,0.996612548828125,,,,
ML-20M,33,quota,0.9965894818305968,0.901,0.099,4.636801719665527,5.670285224914551,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966383576393129,4.887580871582031e-05,0.0,238.0,,0.9965894818305968,,,,
ML-20M,34,quota,0.9966452717781068,0.901,0.099,4.634598731994629,5.682282447814941,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965793490409852,-6.592273712158203e-05,0.0,240.0,,0.9966452717781068,,,,
ML-20M,35,quota,0.9966250061988832,0.901,0.099,4.63228702545166,5.677748680114746,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.99661523103714,-9.775161743164062e-06,0.0,234.0,,0.9966250061988832,,,,
ML-20M,36,quota,0.9965891242027284,0.901,0.099,4.630797863006592,5.68919563293457,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966386556625366,4.953145980834961e-05,0.0,236.0,,0.9965891242027284,,,,
ML-20M,37,quota,0.9965937733650208,0.901,0.099,4.628424644470215,5.682478427886963,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965996146202089,5.841255187988281e-06,0.0,235.0,,0.9965937733650208,,,,
ML-20M,38,quota,0.9965877532958984,0.901,0.099,4.62515926361084,5.684548854827881,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966139793395996,2.6226043701171875e-05,0.0,237.0,,0.9965877532958984,,,,
