dataset,t,method,tau,B,cand_n,n_chunk,compliance,viol_rate,mean_reward,reward_gap_to_oracle,hit,ndcg,mean_list_risk,p95_risk,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean
ML-1M,28,Penalty,0.9,2.347123050689697,3533,121,0.8181818181818182,0.18181818181818177,10.857806028413378,0.026452671397816374,0.0743801652892562,0.027151538357593916,1.4738240937802418,2.840517044067383,0.18181818181818182,0.0699900079364619,1.4109210533297751
ML-1M,28,Primal-Dual,0.9,2.347123050689697,3533,121,0.859504132231405,0.14049586776859502,10.894512416902652,-0.010253717091456949,0.0743801652892562,0.031744104928153265,1.719539979888388,3.6744296550750732,0.14049586776859505,0.17494484570400776,1.6380620050775119
ML-1M,28,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8264462809917356,0.17355371900826444,10.899115991986488,-0.014857292175292969,0.0743801652892562,0.031744104928153265,1.7431597538477133,3.6744296550750732,0.17355371900826447,0.19572782398255403,1.6616817790368372
ML-1M,28,OC-Quota,0.9,2.347123050689697,3533,121,0.9173553719008265,0.0826446280991735,10.83707544232203,0.04718325748916463,0.0743801652892562,0.031744104928153265,1.5576890782137547,2.6094253063201904,0.08264462809917356,0.027441588315096774,1.4762111034028786
ML-1M,29,Penalty,0.9,2.347123050689697,3533,121,0.8512396694214877,0.14876033057851235,10.71541525706772,0.032475897103301676,0.06611570247933884,0.038649517069249836,1.457979374188037,2.9398021697998047,0.1322314049586777,0.06700808430506179,1.3472259478135542
ML-1M,29,Primal-Dual,0.9,2.347123050689697,3533,121,0.8842975206611571,0.11570247933884292,10.752451128210904,-0.004559974039882064,0.0743801652892562,0.042754021465871234,1.6888534968549556,3.2702200412750244,0.09917355371900827,0.12598725153394968,1.5555043176185985
ML-1M,29,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.7537752616504,-0.005884107479378287,0.0743801652892562,0.042754021465871234,1.6986986137618703,3.369372844696045,0.10743801652892562,0.13559167286581245,1.5653494345255135
ML-1M,29,OC-Quota,0.9,2.347123050689697,3533,121,0.859504132231405,0.14049586776859502,10.698902260173451,0.04898889399757067,0.0743801652892562,0.037096706397984694,1.579665978585393,2.6344504356384277,0.12396694214876033,0.03015645476412183,1.454286675315258
ML-1M,30,Penalty,0.9,2.347123050689697,3533,121,0.9256198347107438,0.07438016528925617,10.544894112043144,0.04217749193680298,0.09917355371900827,0.04250462539353641,1.3041909192958154,2.416654586791992,0.0743801652892562,0.011871250404799286,1.22533677838558
ML-1M,30,Primal-Dual,0.9,2.347123050689697,3533,121,0.9586776859504132,0.04132231404958675,10.579227735188383,0.00784386879156429,0.09917355371900827,0.04480227506359933,1.513053821138114,2.3317625522613525,0.04132231404958678,0.03037354768800342,1.4267956612031323
