dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,lam,tune,val_compliance,mandatory_infeasible,discretionary_used,V_left_end,warmup
ML-20M,5000,20720,0.9630447268486023,0.8,0.98,"PenaltyGrid, λ*=3.750",0.0852,0.04155290049864792,0.08851028464575109,0.04316735975342605,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,3.75,grid,1.0,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.98,"PenaltyBisect, λ=1.340",0.0854,0.04113487042930122,0.08871805526698524,0.04273308791741244,0.98,0.5123676987186074,0.8657925873994827,9.702821773838997,0.9626,1.3397216796875,bisect,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.98,OracleGate,0.0826,0.04014804710663486,0.08580926656970704,0.04170792344341871,0.98,0.6612058963537216,0.9505994766950607,9.799076055335998,0.9626,,,,0.0,100.0,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.98,QuotaGateV6,0.0826,0.040151620797944376,0.08580926656970704,0.0417116359837361,0.98,0.6608134112954139,0.9507324665784836,9.7986997756958,0.9626,,,,,,0.0,5.0
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,Baseline(mu-only),0.0566,0.028067426055643403,0.07609572465716591,0.037735178886318096,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,0.7438,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,HardBisection,0.057,0.028367180844936054,0.07663350363000807,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,"PenaltyGrid, λ*=0.750",0.0568,0.02809824049001281,0.07636461414358699,0.037776607273477834,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.7438,0.75,grid,0.9046,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,"PenaltyBisect, λ=0.000",0.0566,0.028067426055643403,0.07609572465716591,0.037735178886318096,0.8,0.9828078742817045,2.6292479753494282,6.049316044402122,0.7438,0.00019073486328125,bisect,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,OracleGate,0.0566,0.028067426055643403,0.07609572465716591,0.037735178886318096,0.8002,0.982826425011456,2.6292479753494282,6.049316009879112,0.7438,,,,0.0,999.0,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,QuotaGateV6,0.0568,0.0281288127122165,0.07636461414358699,0.03781771001911333,0.8254,0.974328951652348,2.616884291172028,6.046463965773582,0.7438,,,,,,126.0,20.0
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,Baseline(mu-only),0.0566,0.028067426055643403,0.07609572465716591,0.037735178886318096,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,0.7438,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,HardBisection,0.057,0.028367180844936054,0.07663350363000807,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,"PenaltyGrid, λ*=0.750",0.0568,0.02809824049001281,0.07636461414358699,0.037776607273477834,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.7438,0.75,grid,0.9046,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,"PenaltyBisect, λ=0.287",0.0582,0.028568726735498956,0.07824684054853455,0.03840915129806259,0.85,0.8714354976743459,2.243242394924165,6.033813739657402,0.7438,0.286865234375,bisect,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,OracleGate,0.0568,0.028151442150769593,0.07636461414358699,0.037848134109666025,0.85,0.9713018330648542,2.6292479753494282,6.047874571824074,0.7438,,,,0.0,750.0,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,QuotaGateV6,0.0566,0.028042677400601828,0.07609572465716591,0.03770190562059939,0.8562,0.9632235476091504,2.616884291172028,6.04440075199604,0.7438,,,,,,31.0,0.0
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.028067426055643403,0.07609572465716591,0.037735178886318096,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,0.7438,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,HardBisection,0.057,0.028367180844936054,0.07663350363000807,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,"PenaltyGrid, λ*=0.750",0.0568,0.02809824049001281,0.07636461414358699,0.037776607273477834,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.7438,0.75,grid,0.9046,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,"PenaltyBisect, λ=0.721",0.0566,0.028091016541037378,0.07609572465716591,0.03776689505382815,0.9,0.7524600603461266,1.8290969014167786,5.974734331798554,0.7438,0.720977783203125,bisect,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,OracleGate,0.0568,0.0281391037092923,0.07636461414358699,0.037831545723705694,0.9002,0.9468651927903294,2.616884291172028,6.0400200010538105,0.7438,,,,0.0,499.0,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,QuotaGateV6,0.0566,0.02807601073393515,0.07609572465716591,0.037746720535002894,0.9006,0.9400579539254308,2.5909743547439583,6.035571497511864,0.7438,,,,,,2.0,0.0
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,Baseline(mu-only),0.0566,0.028067426055643403,0.07609572465716591,0.037735178886318096,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,0.7438,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,HardBisection,0.057,0.028367180844936054,0.07663350363000807,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,"PenaltyGrid, λ*=1.500",0.0554,0.027188719350302086,0.07448238773863942,0.03655380391274816,0.9612,0.6084310052096844,1.3728629589080814,5.818502468323707,0.7438,1.5,grid,0.9612,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,"PenaltyBisect, λ=1.349",0.056,0.0275351178679664,0.07528905619790266,0.037019518510307076,0.95,0.632645277261734,1.4537816524505622,5.8529876651406285,0.7438,1.3492584228515625,bisect,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,OracleGate,0.057,0.028384345407250162,0.07663350363000807,0.03816126029477032,0.95,0.8984108949974179,1.484183275699715,6.014572212958336,0.7438,,,,0.0,250.0,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,QuotaGateV6,0.057,0.028384345407250162,0.07663350363000807,0.03816126029477032,0.95,0.8946652646139264,1.4712813317776252,6.010771282076836,0.7438,,,,,,0.0,0.0
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,Baseline(mu-only),0.0566,0.028067426055643403,0.07609572465716591,0.037735178886318096,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,0.7438,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,HardBisection,0.057,0.028367180844936054,0.07663350363000807,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,"PenaltyGrid, λ*=2.000",0.0538,0.026673195916658357,0.07233127184727077,0.0358607097561957,0.981,0.5440465254530311,1.1844097614288331,5.706442199909687,0.7438,2.0,grid,0.981,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,"PenaltyBisect, λ=1.947",0.0542,0.026799166092094862,0.07286905082011293,0.03603007003508316,0.98,0.5501354988917708,1.2022414326667785,5.718457228100299,0.7438,1.9474029541015625,bisect,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,OracleGate,0.0568,0.028306974845803256,0.07636461414358699,0.038057239642112474,0.98,0.8503281192615628,1.4365588903427124,5.980195629239082,0.7438,,,,0.0,100.0,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,QuotaGateV6,0.057,0.028367180844936054,0.07663350363000807,0.0381381834430439,0.98,0.8488746352508664,1.4366200268268585,5.978790650200843,0.7438,,,,,,0.0,5.0
