dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,ProxyUtilityLoss_vs_mu,ProxyUtilityGap_to_oracle,lam,tune,mandatory_infeasible,discretionary_used,V_left_end,warmup,val_compliance,eta0,final_lambda,mean_du_positive,count_U_feasible,count_C_enforced,count_U_violate_by_choice,count_U_infeasible_region
ML-20M,10000,20720,0.9630447268486024,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.0401761893811099,0.0850536746490503,0.0414700551002373,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.9688,0.0031843721389765,0.0,,,0.0,499.0,,,,,,,,,,
ML-20M,10000,20720,0.9630447268486024,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.0401183764158463,0.0848472336911643,0.0414103802806011,0.9002,0.6930342493653298,1.310646891593933,9.814512286853793,0.9688,0.0033941648483271,0.0002097927093505,,,,,0.0,0.0,,,,,,,,
ML-20M,20720,20720,0.9630447268486024,0.8,0.9,Baseline(mu-only),0.081,0.0397287578218223,0.081,0.0397287578218223,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,1.0,0.0,-0.0031843721389765,,,,,,,,,,,,,,
ML-20M,20720,20720,0.9630447268486024,0.8,0.9,ConstrainedGreedy,0.0814,0.0398520382720588,0.0814,0.0398520382720588,1.0,0.6539641045331955,0.9628720581531524,9.5739324944973,1.0,0.2439739572048189,0.2407895850658423,,,,,,,,,,,,,,
ML-20M,20720,20720,0.9630447268486024,0.8,0.9,HardBisection (feasibility ceiling),0.083,0.0403778067486586,0.083,0.0403778067486586,1.0,0.643371999180317,0.9446596473455428,9.783803705787658,1.0,0.0341027459144598,0.0309183737754832,,,,,,,,,,,,,,
ML-20M,20720,20720,0.9630447268486024,0.8,0.9,"PenaltyGrid (>=τ), λ*=3.750",0.0852,0.0415529004986479,0.0852,0.0415529004986479,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,1.0,0.4368634702920921,0.4336790981531155,3.75,grid,,,,,,,,,,,,
ML-20M,20720,20720,0.9630447268486024,0.8,0.9,"PenaltyBisect (~τ), λ=0.493",0.0834,0.0400814047427686,0.0834,0.0400814047427686,0.9,0.6179762585505844,1.0996452093124391,9.796766154646871,1.0,0.0211402970552452,0.0179559249162686,0.4926681518554687,bisect,,,,,,,,,,,,
ML-20M,20720,20720,0.9630447268486024,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.0401761893811099,0.0824,0.0401761893811099,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,1.0,0.0031843721389765,0.0,,,0.0,499.0,,,,,,,,,,
ML-20M,20720,20720,0.9630447268486024,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.0401183764158463,0.0822,0.0401183764158463,0.9002,0.6930342493653298,1.310646891593933,9.814512286853793,1.0,0.0033941648483271,0.0002097927093505,,,,,0.0,0.0,,,,,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.0280674260556434,0.2064186725018235,0.1023611453524558,0.8,0.9828616354778408,2.629247975349428,6.049316048502922,0.2742,0.0,-0.0092960474491112,,,,,,,,,,,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,ConstrainedGreedy,0.0568,0.0281322068255311,0.2071480671043034,0.1025973990719589,0.8554,0.9454177748516202,2.420987069606781,6.0216586748838425,0.2742,0.0276573736190792,0.0183613261699679,,,,,,,,,,,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,HardBisection (feasibility ceiling),0.057,0.028367180844936,0.2078774617067833,0.1034543429793437,0.9998,0.793316739590466,1.4274769186973573,5.930513867020607,0.2742,0.118802181482315,0.1095061340332037,,,,,,,,,,,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,"PenaltyGrid (>=τ), λ*=0.750",0.0568,0.0280982404900128,0.2071480671043034,0.1024735247629934,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.2742,0.0793751074075697,0.0700790599584584,0.75,grid,,,,,,,,,,,,
