dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,lam,tune,val_compliance,mandatory_infeasible,discretionary_used,V_left_end,warmup,eta0,final_lambda,mean_du_positive,count_U_feasible,count_C_enforced,count_U_violate_by_choice,count_U_infeasible_region
ML-20M,5000,20720,0.9630447268486024,0.8,0.95,"PenaltyBisect, λ=0.901",0.0848,0.0406641844666167,0.0880947434032827,0.0422441143430466,0.95,0.5617586804509163,0.9631165266036992,9.757891007375717,0.9626,0.9012222290039062,bisect,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.95,OracleGate,0.083,0.0403947022878614,0.0862248078121753,0.041964161944589,0.95,0.676797339630127,0.9673156142234958,9.807991453647611,0.9626,,,,0.0,250.0,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.95,QuotaGateV6,0.0828,0.0403215749536609,0.0860170371909412,0.0418881933863088,0.95,0.6762802101850509,0.9673156142234958,9.807565552520751,0.9626,,,,,,0.0,0.0,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.98,Baseline(mu-only),0.081,0.0397287578218223,0.0841471015998337,0.0412723434675071,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,,,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.98,HardBisection,0.083,0.0403778067486586,0.0862248078121753,0.0419466099612078,1.0,0.643371999180317,0.9446596473455428,9.783803705787658,0.9626,,,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.98,"PenaltyGrid, λ*=3.750",0.0852,0.0415529004986479,0.088510284645751,0.043167359753426,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,3.75,grid,1.0,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.98,"PenaltyBisect, λ=1.340",0.0854,0.0411348704293012,0.0887180552669852,0.0427330879174124,0.98,0.5123676987186074,0.8657925873994827,9.702821773838997,0.9626,1.3397216796875,bisect,,,,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.98,OracleGate,0.0826,0.0401480471066348,0.085809266569707,0.0417079234434187,0.98,0.6612058963537216,0.9505994766950608,9.799076055335998,0.9626,,,,0.0,100.0,,,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.98,QuotaGateV6,0.0826,0.0401516207979443,0.085809266569707,0.0417116359837361,0.98,0.6608134112954139,0.9507324665784836,9.7986997756958,0.9626,,,,,,0.0,5.0,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,Baseline(mu-only),0.0566,0.0280674260556434,0.0760957246571659,0.037735178886318,0.8,0.9828616354778408,2.629247975349428,6.049316048502922,0.7438,,,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,HardBisection,0.057,0.028367180844936,0.076633503630008,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,,,,,,,,,,,,,,
