dataset,method,highrisk_cohort,served_risk,hit,bad_exposure
Amazon-VideoGames,Penalty,0.0,0.8767663836479187,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.1673755645751953,0.0,1.0
Amazon-VideoGames,Penalty,0.0,1.2220408916473389,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.691739559173584,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.2747057676315308,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.213525652885437,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.370705008506775,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7351779341697693,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.40051478147506714,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7905072569847107,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.738799810409546,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.608898401260376,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.6347789764404297,0.0,0.0
