dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,reward_gap_to_oracle_mean_std
ML-1M,QuotaGate-RDU,0.9,5,1.0,0.9000828500414251,0.03943661971830986,0.03943661971830986,0.0245397132228187,0.09792874896437448,0.013160542497579586,0.7287786459354892,5.476087112687497,0.03071756166965347,0.0,0.0,0.0,0.0,0.0,0.00014302134081464626,0.00017011669762711793,8.714661528251321e-05,1.867393530577251e-05
ML-1M,QuotaGate-RDU,0.9,10,0.8,0.8,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.1266692673083466,1.5361572281810105,10.54595018810345,0.0,0.0,0.0,0.0,0.0,0.0,0.0001244838693041923,0.000124483869304176,1.7371427574445166e-05,0.0
ML-1M,QuotaGate-RDU,0.9,10,1.0,0.9000828500414251,0.07105219552609776,0.07105219552609776,0.03456365717729395,0.0975973487986744,0.022855165698060155,1.4147512067626011,10.504619862952307,0.03611085156912495,0.0,6.800187917714267e-05,6.800187917714267e-05,2.047060539384058e-05,0.0,0.0001179625890577039,0.00014154014246252648,3.9309072347528006e-05,6.076568016628658e-06
ML-1M,QuotaGate-RDU,0.9,10,1.2,0.903960231980116,0.0724109362054681,0.0724109362054681,0.03504691560037058,0.09371996685998343,0.08793380663191472,1.4086928125904827,10.517852758503988,0.0011055864493712876,0.0001482066596519593,0.0,0.0,0.0,0.0001482066596520154,0.00010191331891392944,0.00012614167051732192,5.0729203868724414e-05,8.09113742878773e-06
ML-1M,QuotaGate-RDU,0.9,20,1.0,0.9000828500414251,0.11930405965202981,0.11930405965202981,0.04657752948783863,0.09345484672742337,0.05017131653716966,2.6815013377016603,19.91076445118889,0.037914618940124004,0.0,0.0,0.0,0.0,0.0,0.0003052699238741206,0.0002888428013163709,5.621289678383353e-05,5.572726299987724e-05
ML-1M,QuotaGate-RDU,0.95,10,1.0,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03467996266637926,0.049378624689312346,0.006579870999896442,1.3912442271639813,10.499701877315871,0.030424650313938883,0.0,0.0,0.0,0.0,0.0,0.000137779594377025,0.00012298622484217174,4.723645402288469e-05,3.121179866957549e-05
ML-1M,QuotaGate-U,0.8,10,1.0,0.8012261806130903,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19380281690140844,0.1265284099768486,1.535942002021042,10.545951431467204,0.0,0.00014820665965196807,0.0,0.0,0.0,0.0001482066596520225,9.29749138885002e-05,0.00010160395511694916,1.8157144758499386e-05,0.0
ML-1M,QuotaGate-U,0.9,5,1.0,0.9000828500414251,0.03976801988400994,0.03976801988400994,0.02460146263864768,0.09826014913007457,0.0626226540923415,0.7835434293653122,5.50680467435715,0.0,0.0,0.0,0.0,0.0,0.0,0.0001264285099590379,0.00017122155587261177,6.960335211318627e-05,0.0
ML-1M,QuotaGate-U,0.9,10,0.8,0.8,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.1266692673083466,1.5361572281810105,10.54595018810345,0.0,0.0,0.0,0.0,0.0,0.0,0.0001244838693041923,0.000124483869304176,1.7371427574445166e-05,0.0
ML-1M,QuotaGate-U,0.9,10,1.0,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09743164871582435,0.10001753820499903,1.495470934335664,10.540730714521432,0.0,0.0,0.0,0.0,0.0,0.0,0.00010997448528207918,9.930499114790305e-05,3.558879638156338e-05,0.0
ML-1M,QuotaGate-U,0.9,10,1.2,0.9006793703396851,0.07191383595691798,0.07191383595691798,0.03481424109964747,0.09716652858326429,0.09672180510633924,1.4189101213515545,10.518958344953358,0.0,9.075767315740815e-05,0.0,0.0,0.0,9.07576731574394e-05,5.838221201901765e-05,9.71778154046355e-05,4.9158641173567974e-05,0.0
ML-1M,QuotaGate-U,0.9,20,1.0,0.9000828500414251,0.11817729908864953,0.11817729908864953,0.04626864747573782,0.09527754763877382,0.14533827638665603,2.783654041752503,19.948679070129014,0.0,0.0,7.410332982600524e-05,7.410332982600524e-05,1.6871123530759696e-05,0.0,0.00017699737544424075,0.0002792878304977064,7.854505041284865e-06,0.0
ML-1M,QuotaGate-U,0.95,10,1.0,0.9501242750621375,0.07191383595691798,0.07191383595691798,0.034845135599252765,0.04871582435791218,0.06538706254050468,1.4526619456309668,10.530126527629811,0.0,0.0,0.0,0.0,0.0,0.0,6.904289345045179e-05,5.79857583334133e-05,2.4566960200613402e-05,0.0
ML-1M,WBEThreshold,0.8,10,1.0,0.8005302402651202,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19449875724937862,0.1256411084962859,1.5350868950573096,10.545310044324191,0.0006413871430133611,7.410332982594396e-05,0.0,0.0,0.0,7.410332982600821e-05,3.0728048991032e-05,2.7582885686121206e-05,1.4182709746676789e-05,3.233985450629332e-05
ML-1M,WBEThreshold,0.9,5,1.0,0.9000828500414251,0.0396023198011599,0.0396023198011599,0.024563371194798424,0.09809444904722453,0.011252298276090585,0.7303750656776026,5.476183940623551,0.030620733733599793,0.0,0.0,0.0,0.0,0.0,0.00013348026934313948,0.00019145925258139186,9.609286770807342e-05,2.8658665400206115e-05
ML-1M,WBEThreshold,0.9,10,0.8,0.8,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.1266692673083466,1.5361572281810105,10.54595018810345,0.0,0.0,0.0,0.0,0.0,0.0,0.0001244838693041923,0.000124483869304176,1.7371427574445166e-05,0.0
ML-1M,WBEThreshold,0.9,10,1.0,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.02177866276770263,1.4154191865766452,10.504484470844664,0.036246243676767875,0.0,0.0,0.0,0.0,0.0,0.00011739518527842145,0.00011145682972611015,3.514014074721735e-05,2.635722306928387e-06
ML-1M,WBEThreshold,0.9,10,1.2,0.9006793703396851,0.07191383595691798,0.07191383595691798,0.03481424109964747,0.09716652858326429,0.09672180510633924,1.4189101213515545,10.518958344953358,0.0,9.075767315740815e-05,0.0,0.0,0.0,9.07576731574394e-05,5.838221201901765e-05,9.71778154046355e-05,4.9158641173567974e-05,0.0
ML-1M,WBEThreshold,0.9,20,1.0,0.9000828500414251,0.11930405965202981,0.11930405965202981,0.04661049883404177,0.0936205468102734,0.05014196152517199,2.682462089988152,19.910917264737666,0.037761805391350836,0.0,0.0,0.0,0.0,0.0,0.0002509092332451032,0.00025509974904080595,9.237923998155918e-05,9.139288045386765e-05
