dataset,method,tau,k,width_scale,ms_per_user,sec_total,ms_per_user_std,sec_total_std
ML-20M,QuotaGate-RDU,0.9,20,1.0,0.4964839439280331,2.4824197196401654,0.008745103862191482,0.04372551931095746
ML-20M,QuotaGate-RDU,0.95,10,1.0,0.54629793131724,2.7314896565862,0.008954029628293158,0.04477014814146576
ML-20M,QuotaGate-U,0.8,10,1.0,0.5356334044411779,2.6781670222058893,0.012196899822910025,0.060984499114550055
ML-20M,QuotaGate-U,0.9,5,1.0,0.580593225248158,2.90296612624079,0.015987910335150093,0.07993955167575062
ML-20M,QuotaGate-U,0.9,10,0.8,0.2749641481228173,1.3748207406140864,0.007778849178550507,0.038894245892752505
ML-20M,QuotaGate-U,0.9,10,1.0,0.5487047747336329,2.743523873668164,0.016150151456172233,0.08075075728086084
ML-20M,QuotaGate-U,0.9,10,1.2,0.8848199877142907,4.4240999385714534,0.05797587496293386,0.2898793748146693
ML-20M,QuotaGate-U,0.9,20,1.0,0.4920798220671713,2.4603991103358567,0.008798217132878651,0.043991085664393276
ML-20M,QuotaGate-U,0.95,10,1.0,0.5340578019618988,2.670289009809494,0.011431766421943566,0.05715883210971778
ML-20M,WBEThreshold,0.8,10,1.0,0.5522726261056959,2.76136313052848,0.013845770890876566,0.06922885445438287
ML-20M,WBEThreshold,0.9,5,1.0,0.6144097705557943,3.072048852778971,0.010625558227235021,0.05312779113617503
ML-20M,WBEThreshold,0.9,10,0.8,0.2760700813308358,1.3803504066541792,0.004240741043769087,0.02120370521884545
ML-20M,WBEThreshold,0.9,10,1.0,0.561318592010066,2.8065929600503297,0.013871854864090342,0.06935927432045179
ML-20M,WBEThreshold,0.9,10,1.2,0.8999128558300435,4.499564279150218,0.05489483843299181,0.27447419216495916
ML-20M,WBEThreshold,0.9,20,1.0,0.49990937985479833,2.4995468992739918,0.008792417025203237,0.0439620851260161
ML-20M,WBEThreshold,0.95,10,1.0,0.5429183482751251,2.7145917413756253,0.008265403613422559,0.04132701806711264
