dataset,method,tau,k,width_scale,seed,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean
ML-20M,Primal-Dual,0.9,10,1.0,2025,0.8998,0.0822,0.0822,0.04009326499218873,0.0974,0.04167822164535521,0.6473377051070333,9.814572551727295,-0.00025168466567926373
ML-20M,QuotaGate-U,0.9,10,1.0,2026,0.9002,0.0822,0.0822,0.04011837641584636,0.0966,0.04135209716320037,0.6469530773237347,9.81442997713089,0.0
ML-20M,QuotaGate-RDU,0.9,10,1.0,2026,0.9002,0.082,0.082,0.040015766059772785,0.0964,0.008679259755611407,0.6126665945246815,9.788752511692048,0.025677465438842972
ML-20M,WBEThreshold,0.9,10,1.0,2026,0.9002,0.0822,0.0822,0.04011576605977278,0.096,0.008137026596069323,0.6130087374404073,9.789003313922882,0.025426663208008904
ML-20M,Penalty,0.9,10,1.0,2026,0.9018,0.0832,0.0832,0.04002887178759867,0.095,0.018743225264549242,0.5749479637980461,9.796169342589378,0.01826063454151239
ML-20M,AdaptivePenalty,0.9,10,1.0,2026,0.9002,0.0846,0.0846,0.04044549332856939,0.0964,0.019120929982662186,0.5735938640624285,9.79482408812046,0.019605889010430033
ML-20M,Primal-Dual,0.9,10,1.0,2026,0.8998,0.0822,0.0822,0.04009326499218873,0.0974,0.04167822164535521,0.6473377051070333,9.814572551727295,-0.00014257459640454329
ML-20M,QuotaGate-U,0.9,10,1.0,2027,0.9002,0.0822,0.0822,0.04011837641584636,0.0966,0.0413122361755371,0.6468981960371136,9.814305993556976,0.0
ML-20M,QuotaGate-RDU,0.9,10,1.0,2027,0.9002,0.082,0.082,0.040015766059772785,0.0964,0.008709016945362077,0.6126562468364835,9.788643794345855,0.025662199211121006
ML-20M,WBEThreshold,0.9,10,1.0,2027,0.9002,0.0822,0.0822,0.04011576605977278,0.096,0.008155294156074513,0.6130078096941114,9.788892866420746,0.025413127136230784
ML-20M,Penalty,0.9,10,1.0,2027,0.9018,0.0832,0.0832,0.04002887178759867,0.095,0.018743225264549242,0.5749479637980461,9.796169342589378,0.0181366509675982
ML-20M,AdaptivePenalty,0.9,10,1.0,2027,0.9002,0.0846,0.0846,0.04044549332856939,0.0964,0.019120929982662186,0.5735938640624285,9.79482408812046,0.019481905436515845
ML-20M,Primal-Dual,0.9,10,1.0,2027,0.8998,0.0822,0.0822,0.04009326499218873,0.0974,0.04167822164535521,0.6473377051070333,9.814572551727295,-0.0002665581703187314
ML-20M,QuotaGate-U,0.9,10,1.0,2028,0.9002,0.0822,0.0822,0.04011837641584636,0.0966,0.04140266219139098,0.6469718639448285,9.814328326702118,0.0
ML-20M,QuotaGate-RDU,0.9,10,1.0,2028,0.9002,0.082,0.082,0.040015766059772785,0.0964,0.008680235245227801,0.6126450211837888,9.788698780155181,0.025629546546936055
ML-20M,WBEThreshold,0.9,10,1.0,2028,0.9002,0.0822,0.0822,0.04011576605977278,0.096,0.008099702620506275,0.6129606089904904,9.788929460811614,0.02539886589050333
ML-20M,Penalty,0.9,10,1.0,2028,0.9018,0.0832,0.0832,0.04002887178759867,0.095,0.018743225264549242,0.5749479637980461,9.796169342589378,0.018158984112739418
ML-20M,AdaptivePenalty,0.9,10,1.0,2028,0.9002,0.0846,0.0846,0.04044549332856939,0.0964,0.019120929982662186,0.5735938640624285,9.79482408812046,0.019504238581657063
ML-20M,Primal-Dual,0.9,10,1.0,2028,0.8998,0.0822,0.0822,0.04009326499218873,0.0974,0.04167822164535521,0.6473377051070333,9.814572551727295,-0.00024422502517751354
ML-20M,QuotaGate-U,0.9,10,1.0,2029,0.9002,0.0822,0.0822,0.04011837641584636,0.0966,0.04149604714870452,0.6471233436062932,9.81452244501114,0.0
ML-20M,QuotaGate-RDU,0.9,10,1.0,2029,0.9002,0.082,0.082,0.040015766059772785,0.0964,0.008892827918529496,0.612881394405663,9.788860245800018,0.025662199211121006
ML-20M,WBEThreshold,0.9,10,1.0,2029,0.9002,0.0822,0.0822,0.04011576605977278,0.096,0.008339105129241933,0.6132329572632909,9.789109317874908,0.025413127136230784
ML-20M,Penalty,0.9,10,1.0,2029,0.9018,0.0832,0.0832,0.04002887178759867,0.095,0.018743225264549242,0.5749479637980461,9.796169342589378,0.018353102421761136
ML-20M,AdaptivePenalty,0.9,10,1.0,2029,0.9002,0.0846,0.0846,0.04044549332856939,0.0964,0.019120929982662186,0.5735938640624285,9.79482408812046,0.01969835689067878
ML-20M,Primal-Dual,0.9,10,1.0,2029,0.8998,0.0822,0.0822,0.04009326499218873,0.0974,0.04167822164535521,0.6473377051070333,9.814572551727295,-5.010671615579554e-05
Amazon-VideoGames,QuotaGate-U,0.8,10,1.0,2025,0.8254,0.0568,0.0568,0.0281288127122165,0.172,0.16430101187229157,0.9398728124052286,6.046463965773582,0.0
Amazon-VideoGames,QuotaGate-RDU,0.8,10,1.0,2025,0.8252,0.0568,0.0568,0.0281288127122165,0.1722,0.16431472189426422,0.9398973386675119,6.046464927315712,-9.61542129473969e-07
Amazon-VideoGames,WBEThreshold,0.8,10,1.0,2025,0.825,0.0568,0.0568,0.0281288127122165,0.1722,0.159678897356987,0.9353666216164828,6.045674017310143,0.0007899484634394938
Amazon-VideoGames,Penalty,0.8,10,1.0,2025,0.8,0.0566,0.0566,0.028067426055643403,0.1962,0.17045417346954345,0.9484369886308909,6.049316048502922,-0.0028520827293396778
Amazon-VideoGames,AdaptivePenalty,0.8,10,1.0,2025,0.8234,0.0574,0.0574,0.02841006207764341,0.1738,0.14295597097873688,0.9003614119559527,6.040100962090492,0.00636300368308973
Amazon-VideoGames,Primal-Dual,0.8,10,1.0,2025,0.8246,0.0568,0.0568,0.0281288127122165,0.1728,0.16610774991512298,0.9417052940756082,6.048287295413017,-0.0018233296394347676
Amazon-VideoGames,QuotaGate-U,0.8,10,1.0,2026,0.826,0.0568,0.0568,0.0281288127122165,0.1714,0.16419141442775725,0.9397147527843713,6.046650005650521,0.0
Amazon-VideoGames,QuotaGate-RDU,0.8,10,1.0,2026,0.826,0.0568,0.0568,0.0281288127122165,0.1714,0.16419141442775725,0.9397147527843713,6.046650005650521,0.0
Amazon-VideoGames,WBEThreshold,0.8,10,1.0,2026,0.8254,0.0568,0.0568,0.0281288127122165,0.1718,0.15984255702495576,0.9354773754626513,6.04593181951046,0.0007181861400606948
